Codigo;descricao
4806235;Capacitor Coifas Coral/Cristal/Granada/Esmeralda
4806236;Suporte de fixação da placa Coifas
4806237;Placa eletrônica 127V
0201053;Parafuso aa/cab.chata/ph 3,5 x 16 ZPT
5152891;Lâmpada Halogena R7S 120 Volts 150 WAtts
0855012;Metalon Oblongo 20 x 30 mm #18 (não usar)
91403013;Serviço Industrilizacao Polipropileno reciclado Branco
4824231;Disco anti vazamento
4830032;Parafuso de fixacao das alcas no monobloco
4830033;Chapa galvanizada dobrada
4830034;Mola de protecao da cabecao interna
9990023;Serviços Convênio Unimed
9090043;Vasilhames e sacaria
9090044;Sucata
91901033;Serviço Manual Instrucao Dep. VEGA 
1401018;Master prata AG 625
1404003;Poliester PBT s/ fibra branco
1155034;Coluna expositor secadora pintada
1102073;Tampa inf. Secadora BR (EXPORTAÇÃO)
90401013;Serviço Cabeação Coifa 90cm 
90401012;Serviço Cabeação Coifa 60cm 
90401015;Serviço Cabeação Depurador POLARIS
4830035;Cabecao de forca
4830036;Cabecao interna
4830037;Led Verd
4830038;Led Vermelho
4840143;Suporte da plataforma p/ Batedeira Batplus
4840141;Mangueira para Churrasqueira de embutir CH3001IX
4840142;Tampa inferior do suporte da plataforma p/ Batplus
4840144;Botao para mover a plataforma p/ Batedeira Batplus
4840145;Base da plataforma p/ Batedeira Batplus
4840146;Engrenagem média BR/PT  plataforma p/ Batmax/Plus
4840147;Botao de liberacao da Batedeira Batplus
4840148;Placa de fixacao do botao de liberacao da Batedeir
4840149;Tampa da plataforma da Batedeira Batplus
4840150;Base da bandeja giratoria da Batedeira Batplus
1424003;Master Branco  p/  alca Ferro Paris
1424004;Master Branco Azulado  p/ alca Ferro Roma e Milao
4824259;Tampa do reservatório ferro Madri
1101111;Kit da manta Filtrante BR 580 x 780mm - Pcte C/1
4843059;Proteção traseira de plástico Juicer Inox
4844002;Base superior BR
4844003;Base superior PT
4844004;Placa de comando
4844005;Manipulo branco liq. BR
4844006;Manipulo prata liq. PT
4844007;Botao autoclean laranja liq. BR
4844008;Botão autoclean preto liq. PT
4844009;Suporte do motor
4844010;Borracha anti-vibracao
4844011;Chave de seguranca
4844012;Motor 127V Liquidificador 4 Vel.
4844013;Motor 220V Liquidificador 4 Vel.
4844014;Base inferior BR
4844015;Base inferior PT
4844016;Cabo de forca do liquidificador BR
4844017;Cabo de forca do liquidificador PT
4844018;Pe de borracha do Liquidificador
4844019;Sobretampa
4851026;Caixa p/ Espremedor de Frutas
4851027;Manual p/ Espremedor de Frutas
1103160R;Cuba BR TQ II Refugada
1103073R;Flange do batedor completo  Refugado
1103243R;Cuba Azul Favorita Refugada
1103178R;Flange do batedor completo II Refugado
1103257R;Tampa do dispenser Favorita/Lavamax Refugada
1103259R;Dispenser Azul p/ sabao e amaciante Refugado
1103089R;Polia batedor A-34 Refugada
1103163R;Tampa movel TQ Turbilhao II  Refugada
1103262R;Knob Ø 60mm Refugado
90401007;Serviço Cabeação Depurador ANTARES
90401022;Serviço Cabeação c/ placa eletronica  Depurador SENSE 127V
90401024;Serviço Cabeação c/ placa eletronica  Depurador SENSE 220V
90201040;Seviços de Cromagem do Canto de acabamento Dir. coifa 60/90
90501041;Serviço de Cromagem do Botao de comando da coifa 
91101277;Serviço de Injeção do Mancal Direito
91101293;Seviço de Injeção da Lente da Luminaria dos Depuradores
91101299;Seviço de Injeção da Tampa do comando eletrico
91103254;Serviço de Injeção do Filtro Cata Fiapo  Lav. Favorita / Lavamax /Viva
91150001;Serviço de Silk Chaveiro montado 
91101728;Seviço de Injeção do Filtro de Carvão Depurador
91103206;Seviço de Injeção do  Filtro Cata Fiapo BR/VD Lav. Lavamatic 
1103285R;Tampao Azul do parafuso Favorita Refugada
1103286R;Visor Fume da Tampa Movel LAV. Refugado
1103079R;Knob lilas  Refugado
1103146R;Tampa Fixa c/ esfregador MB Refugado
1103255R;Tampa Movel Lavamax Refugada
1103260R;Tampao BR. dos parafusos Lavamax Refugada
1101112;Kit da manta Filtrante BR 580 x 780mm - Pcte C/2
4824258;Dosador de agua para ferro Paris -FR0521/22BR
0501052;Interruptor deslizante HH-10A-120VCA -c/Gravação
0803031;*Plastico tubular p/ protecao da entrada e saida
0310016;Motor Bi-volt 2 polos 1 vel. 60Hz
0310017;Motor Bi-volt 2 polos 3 vel. 60Hz
0303021;Motor  4 polos Bi-Volt  Turbilhao
4847034;Etiqueta do painel do Umidificador
4801054;Monobloco inox de 80cm
4801055;Vidro defletor 80cm
4801056;Botao menor do painel
4801057;Tampa Filtrante 80cm Dep. Orion
4801058;Manta filtrante de carvao ativado 80cm
4801059;Tela de aluminio expandido 80cm Dep. Orion
91924002;Serviço Manual p/ Ferro Vapor Paris FR0521-22BR 
91924004;Serviço Manual p/ Ferro eletrico Milao FR0121-22BR 
4844020;Tampa da jarra BR
91410033;Serviço Industrialização SAN Cristal  reciclado
1103434;Knob Tampografado  Lav. ALELUIA
1103435;Tampa mov. Tampograf. Lav. ALELUIA 6.7/Gênesis 6.9
91901005;Serviço Manual Instr. termo garantia Coifa Suggar 
91904002;Serviço Manual Instr. termo garantia Forno a gas 
95050060;Serviço Luva de raspa - recuperada 
1144009;BASE LIQUIDIFICADOR 127V PT
4843105;Cabo de força do Juicer Inox - JC8811-22IX
95351038;Serviço Envelope 1/2 oficio timbrado branco 
91016020;Serviço Etiqueta couchê 100x145mm - lisa sem impressão
1155111;Embalagem expositor Secadora
1155112;Expositor de tubo montado p/ Secadora
1155113;Base p/ expositor da Secadora
1155114;Suporte da Base do expositor da Secadora
1155115;Base pintado do expositor p/ Secadora
1155116;Haste pint. do expositor p/ Secadora
1155117;Expositor Suggar p/ Coifa Piramidal
1103283R;Dispenser BR. Favorita  Refugado
1103123R;Tampa movel Lavamatic CZ  Refugada
1103184R;Tampao de vedacaoTQ II Refugado
1103246R;Painel de controle Lavamax  Refugado
1103162R;Knob BR em S Refugado
1103200R;Suporte batedor Lav. Lavamatic Super  Refugado
1103205R;Tampa movel  BR Lav. Lavamatic  Refugada
1103263R;Ralo Azul Lavamax  Refugado
1103279R;Batedor em helice BR Refugado
1103117R;Suporte do motor Tourbilhao Refugado
1103144R;Tampa Fixa c/ esfregador BR Lavamatic Refugada
1103198R;Batedor Lav. Lavamatic Super Refugado
1103201R;Disco de vedacao Lav. Lavamatic Super Refugado
1103204R;Tampa fixa Lav. Lavamatic Super Refugada
1103253R;Torre Cata Fiapo  Lavamax Refugada
1103287R;Cuba BR.Lavamax injetada Refugada
1103240R;Batedor em helice Azul Refugado
1103247R;Painel de controle Favorita Refugado
1101820R;Painel frontal SENSE 80 BR Refugo
1101770R;Caracol esquerdo Start Light .N. Legitimo Refugado
1101821R;Painel frontal SENSE 80 BM Refugado
1410027;Rabicho Poliestireno de alto impacto - BG 
1410012;Rabicho Poliestireno de alto impacto - BR 
1403015;Rabicho Polipropileno reciclado BR 
1405002;Poliester PBT C/ Fibra reciclado 
1410008;Poliestireno de alto impacto reciclado - BR 
4840083;Conj. do ignitor do queimador lateral
4840084;Mangueira para Churrasqueira a gas
4840085;Queimador lateral para Churrasqueira a gas
4840086;Caixa p/ Batedeira Batmax  BR
4840087;Kit de instalacaoo churrasqueira CH4001IX
4840088;Kit de instalacaoo churrasqueira CH3001IX
4840089;Bancada lateral da churrasqueira CH4001IX
4840090;Moldura esquerda de sustentacao do armario CH4001I
4840091;Rodizio da churrasqueira CH4001IX
4840092;Articulcao da porta CH4001IX
4840093;Ima da porta do armario CH4001IX
4840094;Puxador da porta do armario CH4001IX
4840095;Porta esquerda do armário  CH4001IX
4840096;Batente inferior das portas CH4001IX
4840097;Base do armario da churrasqueira CH4001IX
4841017;Pes de borracha  - CF24PT 
4841018;Suporte do elemento de aquecimento - CF24PT 
4841019;Parafuso aa cab.pan/fc 3,0 x 6,0
2205020;Câmara Injet 1430/22 Tc
2205021;Queimador Semi-Rápido Com Aba
2205025;Espalhador Trip. Chama. Interno  SABAF
2205022;Queimador Rápido Com Aba
2205023;Queim. Mini Wok 2,5 Pr TC.
2205024;Espalhador Trip. Chama. Externo SABAF
2205026;Ramal Superior Esq 4Q/5Q
2205027;Ramal Inferior Direito 4Q/5Q
2205028;Ramal Inferior Esq 4Q/5Q
2205029;Ramal Superior Direito 4Q/5Q
1403046;Reciclado de PP 30% Fibra de Vidro ACP
1403039;Polipropileno reciclado Azul 
1403013;Polipropileno reciclado Branco | PNIP: PERDA NÃO INERENTE DO PROCESSO.
1410025;Polipropileno reciclado Multi Cor
1410009;San Delfos fume reciclado
1403010;Santoprene 201/80 reciclado 
1403047;Composto de Pó de vidro azul reciclado
1101289;Tampa filtrante VEGA 80cm estampada 
1101049;Conjunto tampa filtrante ST- 60 BR montada
0101092;*Blank duto fixo inox es.c/pel.AISI439-0,6x750x125
0101094;*Blank monob.90 inox esc.c/pel.AISI 439-0,6x800x13
0201051;Mola Ext. da valvula do Ferro Paris
1103424;Cuba BR lavadora ALELUIA
4825038;Placa superior com resistencia 220V
4840153;Tigela da Batedeira Batplus
4840151;Placa interna da bandeja giratoria da Batedeira Ba
4840152;Tampa da bandeja giratoria da Batedeira Batplus
4840154;Base da batedeira p/ Batedeiras Batplus
4841020;Termostato p/ - CF242PT/CF12PT
4841021;Termostato 220V - CF2422PT
4841022;Parafuso cab.pan/fc M4 x 6,0
4841023;Elemento de aquecimento (resistencia) 127V  - CF24
4841024;Elemento de aquecimento (resistencia) 220V  - CF24
4841025;Anel de borracha  - CF24PT
4841026;Placa de aquecimento  - CF24PT 
4841027;Abracadeira da jarra  - CF24PT
4841028;Prendedor da abracadeira  - CF24PT 
4841029;Parafuso MPC cab.flang/fc 3,0 x 16,0
4841030;Alca da jarra de vidro  - CF24PT
4841031;Jarra de vidro  p/ as cafeteiras CF14
4841032;Tampa da jarra de vidro  - CF24PT 
4841033;Corta pingo  - CF24PT
4841034;Mola do corta pingo  - CF24PT
4848007;Motor eletrico 220V
4843005;Helice de refrigeração do motor do Juicer
4843006;Disco de ranhura do Juicer
2205030;Ramal Central 4Q/5Q
2205031;Espuma de PVC 4mm X 12
2205032;Anel De Vedação Do Manipulador
2205033;Trempe
2205034;Arruela Furo ¼ X 35 X 1,2 Mm Zinc
2205035;Parafuso M4x8 Inox
2205036;Parafuso Cab Pan Ph M4x20
2205037;Porca Sextavada 04 mm
2205038;Anel Vedação Queimadores
4806193;Suporte montagem da chaminé
4806194;Duto superior móvel
4806195;Duto inferior fixo
4806196;Tubo de exaustão
4806197;Defletor
4806198;Acoplamento de exaustão
4806199;Junta de vedação  do acoplamento do exaustão
4806200;Suporte de Fixação da coifa
4806201;Cabeação
4806202;Monobloco 60 cm
4806203;Monobloco 90 cm
JC7811IX;Juicer/Centrifuga Suggar 127V
91150003;Serviço de Silk Regua promocional Suggar 20cm 
JC7822IX;Juicer/Centrifuga Suggar 220V
JC7811CXIX;Juicer/Centrifuga Suggar 127V CX C/ 2
4840155;Suporte da chave de ajuste de velocidade p/a Bated
4840156;Botao de liberacao dos batedores p/Batedeiras Batp
4840157;Botao deslizante de acionamento p/  Batplus
4840158;Carcaca superior da batedeira p/ Batedeiras Batplu
4840159;Cobertura da alca da carcaca superior p/ Batplus
4840160;Cabo de forca p/ Batedeira Batmax/Giromax
4840161;Cabo de forca p/ Batedeira Batplus
4840162;Manual p/ Batedeira Batplus
4840163;Caixa p/ Batedeira Batplus
4840164;Passa cabo p/ Batedeira Batplus
4840165;Gancho do batedor Dir.das Batedeiras Batmax/Girom
4840166;Mola do Botao para mover a plataforma da Batmax/Ba
4843038;Caixa p/ Juicer JC8811/8822IX
4843039;Manual p/ Juicer JC8811/8822IX
4834090;Usina para fogão 5Q inox/Vidro
1109028;Adega Suggar Cannes 39G TB Montada 220V
1544001;Caixa Master p/6 Liquidificadores Liqmax
4844042;Caixa p/ Liquidificador Liq.Max BR 220V
4843007;Acoplador do Juicer
4843008;Jarra do Juicer
4843009;Cobertura do Juicer
4843010;Pes a prova de choque do Juicer
4843011;Manual p/Juicer
4843012;Caixa p/Juicer
4843013;Motor 127V 60Hz p/Juicer
4843014;Motor 220V 60Hz p/Juicer
4843015;Parafuso aa.cab.pan/fc 2,8 x 16,2mm
4843016;Tampa inferior do Juicer
4843017;Proteção do motor do Juicer
4843018;Parafuso aa.cab.pan/ph 3,0 x 10,5mm
4843019;Chave de intertravamento do Juicer
4843020;Parafuso aa.cab.pan/fc 3,0 x 16 (p/chave de intert
4843021;Tampa da Jara do Juicer
5050069;Lente verde ov-0020 p/ oculos vanguarda
5050070;"CAPACETE MSA CA-8304 COM CARNEIRA;"
5050072;Mangote Malha CA.33156
5150064;Resistencia 5/8 x 180 ZF60 R400mm 400W 220V 
4806205;Bocal
4806204;Painel de comandos
4806206;Lâmpada 15 W 127 V
4806207;Lâmpada 15 W 220 V
4806208;Lente da luminária
4806209;Junta de vedação do caracol
4806210;Filtro de carvão ativado
4806211;Tela protetora do motor
4806212;Arruela de vedação do motor
4851025;Cabo de forca do Espremedor de Frutas
1103282R;Ralo BR. Favorita Refugado
1103250R;Polia Motor Ø 50mm  Refugada
1103251R;"Sifão em  L"""" Ø 10mm BR  Refugado"
1103261R;Visor azul Lavamax Refugado
1103288R;Cuba Azul favorita injetada  Refugo
1103215R;Tampa movel VD Lav. Lavamatic Refugado
1103244R;Esfregador Favorita Refugado
1103248R;Pe nivelador Favorita / Lavamax Refugado
1103177R;Visor NV Refugado
4824202;Anel retentor do jato do vapor
4824203;Anel retentor do controle do vapor
4824204;Base do ferro Madri
4824205;Trava da fiacao do ferro Madri
4824206;Terminal direito do Led
4824207;Terminal esquerdo do Led
4824208;Led
4824209;Termostato ferro Madri
4824210;Carcaca de ligação
4824211;Lente do led ferro Madri
4824212;Parafuso cab.red/f.ph M4 x 12 Galv. cl
4824213;Parafuso aa/cab.flan/ph 3 x 10 Galv Cl.
4824214;Parafuso a.a/cab.pan/f.c 4 x 12 Galv. cl
4824215;Pino do Conector
1101406R;Dispenser Cata fiapo lavadora TOP 5.0 AZ Refugado
1101865R;Articulacao movel Dir. Dep. Titan Refugada
1101837R;Canaleta da cabeacao SENSE Refugada
1101867R;Suporte da articulacao movel Dir.Dep. Jupiter/Venu
1101868R;Suporte da articulacao movel Esq. Dep. Jupiter/Ven
0101154;Bobina FF CSN LB 5565 0,45 x 1200mm 
0101155;Bobina FF CSNLB 5565 - 0,45 x 305,9 mm
0101156;Bobina  FF CSN LB 5565  - 0,45 x 277,6mm
0101157;Bobina  FF CSN LB 5565  - 0,45 x 595mm
0101158;Bobina  FF CSN LB 5565 - 0,45 x 795mm
0101159;Bobina  FF CSN LB 5565 - 0,45 x 570mm
0101160;Bobina FF CSN LB 5565 - 0,45 x 1100mm 
90101155;Serviço de Corte de Bobina 0,45 x 305,9mm
1155107;Corpo do expositor p/ portateis
1155108;Parte central do expositor p/ portateis
1155109;Parte superior do expositor p/ portateis
5450047;Saco p/ lixo 25 lt - Branco Leitoso
5152374;Combustivel Biodegradavel M207-AF
5152375;Desengraxante para limpeza de lavadoras
TP7761IX;Coifa Suggar Piramidal Topázio 60CM 127V
TP7762IX;Coifa Suggar Piramidal Topázio 60CM 220V
TP7771IX;Coifa Suggar Piramidal Topázio 70CM 127V
TP7772IX;Coifa Suggar Piramidal Topázio 70CM 220V
5150065;Resistencia 5/8 x 350 ZF130 R400mm 400W 220V 
5150066;Microruptor M3N 15A 250 VCA XES-E1011
5150067;Cabo termopar fe/co baioneta c/ponta isolada
5150072;Mini Disjuntor Monopolar 5Sx1-110 10A
5150076;"Conector Box Reto Giratorio 2.1/2"""
5150081;Sinaleiro Vermelha Código 54/03 Blindex 30,50 mm
5150092;Mata-Junta Cotovelo Externo 20 x 10 Código 30992
5150093;Derivacao sistema X 50 X 20mm 
5150094;Luva sistema X 50 X 20mm 
5150106;Cotovelo Sistema X 90º Código 30990
5150110;TE sistema X 20 X 10mm (309-93) 
5150111;Mata-Junta Cotovelo Interno 20 x 10 Código 30991
5150120;Botoeira metalica c/ botao 36/01 
5350055;Almofada p/ carimbo azul
5350056;Fita polietileno corrigivel 8000
5350057;Selo p/ malote
5350058;Argola p/ chaveiro
5350060;Grafite 02/4H 9020
5350061;Borracha TK Plast FABER-CASTELL
1103239R;Base BR. Lavamax Refugada
1103245R;Gabinete Favorita/Lavamax  Refugado
1103258R;Dispenser Azul Lavamax  Refugado
1103118R;Tampa do ralo Refugado
1103128R;Tampa traseira do painel  Refugo
1103179R;Flange do batedor II Refugado
1103180R;Trava do flange do batedor  Refugo
1101543R;Botão de comando da coifa 60/90cm Refugado
1103059R;Tampa fixa cinza C/ Esfregador  Refugado
90101162;Serviço de corte de Bobina  0,45 x 524mm 
90101163;Serviço de corte de Bobina  0,45 x 506mm 
90101164;Serviço de corte de Bobina  0,45 x799mm
90101161;Serviço de corte de Bobina  0,45 x599mm
1101769R;Caracol direito Start Light .NV. Leg B. Refugado
1101251R;Caracol direito POLARIS Refugado
1101273R;Painel frontal VEGA 80cm BR Refugado
1101017R;Caracol plastico  Refugado
1144001;Copo do Liquidificador Liqmax
1101879;Suporte do painel de controle Sirius/Titan
1144002;Acabamento da alca do Liquidificador BR
1144003;Acabamento da alca do Liquidificador PT
1144004;Copo do Liquidificador BR - Montado c/ alça
1144005;Copo do Liquidificador PT - Montado c/ alça
1144006;Filtro do Liquidificador BR
1144007;Filtro do Liquidificador PT
1144008;Inserto  para o copo do Liquidificador
1103242R;Cuba BR. duas entrada e conexão de nível Refugada
1103425;Cuba BR ALELUIA c/ Sifão Verde
1103426;Base BR  lavadora ALELUIA
1103427;Tampa movel VD Lav. ALELUIA 6.7
1103428;Suporte do motor Lav. ALELUIA
TP7791IX;Coifa Suggar Piramidal Topázio 90CM 127V
TP7792IX;Coifa Suggar Piramidal Topázio 90CM 220V
DT81PT;Dep. Suggar Titan 80CM 127V c/Luminária
DT81PR;Dep. Suggar Titan 80CM 127V c/Luminária
FR0522CXBR;Ferro Eletrico Suggar A Vapor 220V CX C/10
4845099;Saida do tubo de aluminio D p/ PV6281/82PR 
4845100;Suporte de roupas e do bocal de vapor p/ PV6281/82
4845101;Parafuso MG cab. pan/fc 3,0 x 11 ZC
4845102;Escova para tecido p/ PV6281/82PR
4845103;Caixa p/ passadeira PV5181/82BR
4845104;Caixa p/ passadeira PV6281/82PR
4845105;Manual p/ passadeira PV5181/82BR
4845106;Manual p/ passadeira PV6281/82PR
4845107;Placa de fixacao da roda traseira 
4845108;Parafuso aa cab.flang/fc 3,5 x 11,5 Inox
4845109;Parafuso MPG cab. pan/fc 3,0 x 15,5 Galv.Preto
4845110;Placa de fixação dos cabos 
4845111;Parafuso MPC cab.flang/fc 3,5 x 12,0 Inox
4845112;Placa de fixacao do botao de reset 
4845113;Parafuso aa cab.pan/fc 3,0 x 12,0 Inox
4845114;Parafuso mpg cab.pan/fc 3,0 x 13,0 Inox
4845115;Placa de fixacao do termostato 
4845116;Parafuso cab.pan/fc M3 x 5,0
2205039;Prensa Cabo  Cg3
2205040;Cabo De Alimentação Fogões 1 T. Macho e 1 T. Fêmea
2205041;Usina de Ignição 5 Saídas
2205042;Eletrodo de Ignição 400 mm SABAF
2205043;Guarnição Para Eletrodo
2205044;Presilha de fixacao p/ eletrodo do fogao Cook Top
2205045;Registro Rápido Copreci P/ Itw
2205046;Rede Elétrica Itw 5 Posições
2205047;Fio Terra Fogões
2205048;Mesa De Vidro 5Q Suggar TC-BT
1103429;Tampa de proteção do Timer Lav. ALELUIA
0403019;Cabeacao Lav. ALELUIA
1003076;Etiqueta Inmetro Lav. ALELUIA 6.7 127V
1003077;Etiqueta Inmetro Lav. ALELUIA  6.7 220V
1003078;Etiqueta Procel Lav. ALELUIA
1903024;Manual Instrução LAV. ALELUIA 6.7
1503031;Caixa Lavadora Aleluia/Gênesis
0803033;"Mangueira Espiralada BR 3/4"" x 900mm"
4843040;Espremedor Juicer Inox  JC8811/8822IX
4843041;Cobertura do Juicer Inox
4843042;Filtro do Juicer Inox
4843043;Acoplador do filtro
4845117;Arruela de pressão M3 ZC
4848008;Fixador do eixo a base
4848009;Arruela de pressao
4848010;Arruela distanciadora
4848011;Base do Mini processador
4848012;Eixo do Mini Processador
4848013;Copo Acrilico do Mini Processador
4848014;Lamina de corte
4848015;Tampa do copo
4848016;Bucha de nylon
4848017;Botao Lig/Des.
4848018;Pressionador
4848019;Mola
4848020;Cobertura da base
4848021;Chave de protecao
4848022;Parafuso aa/cab pan/ fc 3x10
4848023;Interruptor
4848024;Passa cabo
4848025;Parafusos M 3x6,5 cab.esc ph (fixar motor)
4848026;Conector
2205049;Parafuso M4 X 25
2205050;Anel De Vedação Registros
2205051;Manipulador 5Q Apis TC-BT
2205052;Suporte Trempe Rápido
2205053;Suporte Trempe Semi-Rápido
2205054;Monobloco Fogão 5Q TC BT
2205055;Suporte Do Queimador Semi-Rápido Zn
2205056;Suporte Do Queimador Rápido Zn
2205057;Chapa Reforço Dos Registros
4806213;Caracol
4806214;Porca da trava da turbina
4806215;Turbina
4806216;Motor 127V
4806217;Motor 220V
4806218;Circuito eletrônico
4806219;Caixa do circuito eletrônico
4806220;Redutor de tensão
4806221;Fechamento da caixa de comando
4806222;Capacitor
4806223;Coletor de gordura
DT61BR;Dep. Suggar Titan 60CM 127V C/Lum
DT62BR;Dep. Suggar Titan 60CM 220V C/Lum
DT81BR;Dep. Suggar Titan 80Cm 127V C/Lum
DT82BR;Dep. Suggar Titan 80CM 220C C/Lum
4824216;Tampa traseira ferro Madri
4843044;Mola e pino do acoplador Juicer Inox
4843045;Pino do acoplador Juicer
4843046;Suporte do bico Juicer Inox
4843047;Pino trava Juicer Inox
4843048;Mola do pino trava Juicer Inox
4843049;Bico anti-vazamento Juicer Inox
4843050;Haste da trava de segurança Juicer Inox
4843051;Chave da trava de segurança Juicer Inox
4843052;Mola da chave de segurança Juicer Inox
4843053;Suporte de encaixe da alça Juicer Inox
4843054;Mola do suporte de encaixe da alça Juicer Inox
4843055;Cobertura do suporte de encaixe da alça Juicer Ino
4843056;Pino de encaixe da alça Juicer Inox
4843057;Suporte do pino da alça Juicer Inox
4843058;Alça trava de segurança Juicer Inox
5152376;Desengraxante para limpeza de Ferros
5150063;Fita isolante branca 3M
1155110;Embalagem expositor portateis
4848027;Engrenagem principal
5152214;Parafuso Allen Cabeça M 5 x 12 mm
5050073;Lente escura p/mascara de solda num. 10 
5050074;Mascara descartavel ABPFF2 CA.10578/38954
5050075;Avental PVC com manga costurado
5050076;Oculos seguranca mod.RIO de Janeiro
5050077;Talabarte duplo CA.36899 / 15728
5050078;Desengraxante Cherry Gel - Coletivo
5050079;Luva de raspa c/ dorso  [recuperada] 
5050080;Macacão pintura Tyvek CA.34187 tam, XXL/XXG
5050081;Protetor Quiet-corda CA.14121
5050082;Protetor P/G  - CA.11882
5050084;Sapato segurança c/ cadarço s/ biqueira CA.15385
5050101;Camisa azul fabril tam. (serralheria)
5050102;Camisa azul fabril tam. M
5050103;Camisa azul fabril tam. G 
5050105;calça feminina-elastico verso
5050108;Calça jeans c/ botão feminina n 44 
4806224;Tela filtrante 60cm Coifa Topazio
4806225;Tela filtrante 90cm Coifa Topazio
4806226;Caixa p/ coifa  Topázio TP7761/62IX
4806227;Caixa p/ coifa Topazio TP7791/92IX
4806228;Manual p/ coifa Topazio TP7761/62/71/72/91/92IX
4806230;Tela filtrante 70cm Coifa Topazio
MSELGEL;Mensal Elétrica de Geladeiras
51521563;Termopar DME TCG 0062 Polimold
1103078R;Knob branco Sluxo Refugado
1103018R;Clip canoa preto  Refugado
1124016R;Alca do ferro cromado Refugada
1150004R;Regua promocional injetada 20cm  Refugada
1104057R;Puxador Forno BR Refugado
1104089R;Canopla Forno a Gas BR  Refugada
1104041R;Knob branco PBT Refugado
1103315R;Tampa movel da lavadora TOP. BR. Refugada
1103387R;Polia Motor Ø 40mm Refugada
1103331R;Tampa fixa  Azul Escuro Refugada
4824217;Parafuso a.a/cab.pan/f.c 3 x 8 Galv. cl
4824218;Reservatorio de agua FR4021/22BR
4824219;Mola do manipulo do termostato Madri
4824220;Adaptador do manipulo do termostato Madri
4824221;Manipulo ferro Madri
4824222;Alca ferro Madri
4824223;Acabamento da alca ferro Madri
4824224;Botao do spray ferro Madri
4824225;Botao do vapor ferro Madri
4824226;Parafuso cab.pan/f.ph 2,5 x 7 Galv. cl
4824227;Disco de vedacao do vapor
4824228;Disco de vedacao da entrada de água
4824229;Fio conector do recarregador
4824230;Selo hermetico a prova de ar
1410028;SAN Cristal
1410029;Cycolac ABS BR
1410030;Cycolac ABS PT
4844036;Tela de metal para filtro do liquidificador
4844037;Bucha flangeada para o copo do Liquidificador
5350093;Fita P/ Impressora Epson FX-2190
0101025;Bobina FF SAE 1008 - 0,90 x 1000mm
90103023;Serviço Chapa PET BR c/ pelicula 1,5 x 720 x 1970mm 
90103027;Serviço Chapa PET BR 1,4 x 780 x 1970mm 
91016016;Serviço Etiqueta cod.barras 127V papel BR fosco 85x50x1mm
91016017;Serviço Etiqueta cod.barras 220V papel BR fosco 85x50x1mm
91901026;Serviço Manual Instrucao Dep.Star Light 
91901027;Serviço Manual Instrucao Dep. Novo Legitimo Biturbo 
91003075;Serviço Etiqueta Inmetro Lav. Turbilhao 3.3 220V 
91003073;Serviço Etiqueta Procel Lav. Turbilhao 3.3 
91003066;Serviço Etiqueta Procel Lav. TOP 5.0 
91003064;Serviço Etiqueta Inmetro Lav. TOP 5.0 127V 
91003065;Serviço Etiqueta Inmetro Lav. TOP 5.0 220V 
91003074;Serviço Etiqueta Inmetro Lav. Turbilhao 3.3 127V 
91003062;Serviço Etiqueta Inmetro Lav. VIVA 6.0  220V 
0101029;Bobina FF SAE 1008 - 0,60 x 1200mm
0101069;Blank duto fixo inox esc. c/pel. AISI 304
0101076;Suporte fixacao duto movel
5152348;Ponta Philips nº 2 x 50mm IFLA (492)
5152349;Eletrodo Basculante Especial 
5152350;Oxigenio
5152351;Ponta Philips nº 2 x 25mm
5350062;Fita corretiva IBM-1337765
5350063;Clips Galvanizado ACC p/ papel 1/0
5350064;Clips Galvanizado ACC p/ papel 3.0
5350066;Lamina larga p/ Faca Olfa STARRETT
5350068;Fita p/ maquina escr. Heliospecial 13mm x 6m
5350069;Fita corretiva Facit 1832 (520 305 8)
5350070;Almofada p/ carimbo vermelha
5350071;Toner magnetico Xerox 2600/3100/3450 
5350072;Fita polietileno corrigivel IBM-1337761
5350074;Fita p/ impressora Epson LQ 1070
5350075;Papel formato A3 297 x 420mm
5350076;Ficha cadastral pessoa juridica (50x1) 
5350077;Bobina papel p/ fax
5350078;Papel transmissao de fax
4840025;Parafuso aa cab.pan/ph 3,0 x 10,0mm
1103393R;Grade  BR da Lav. DAKO  Refugada
1103314R;Dispenser Cata fiapo lavadora TOP  BR
1116001R;Clip canoa Refugado
1104090R;Manipulo Forno a Gas BR Refugado
1110008R;Turbina plastica Refugada
1110007R;Trava do caracol Refugado
1150002R;Chaveiro Suggar Refugado
1103361R;"Sifão em  L"""" Ø 10mm Azul Refugado"
1103392R;Grade  AZ da Lav. Favorita/Lavamax Refugada
91103404;Serviço de Injeção do Visor Fume CZ Viva Max 
1124026;Alca do Ferro Madri -  FR4021/22BR
1140001;Tampa inferior BR (base)
1140002;Suporte BR da plataforma (estrutura)
1140003;Tigela BR batedeira Batmax
1140004;Tampa inferior PT (base)
1140005;Suporte PT da plataforma (estrutura)
1140006;Tigela PT batedeira Batplus
4824250;Base completa 127V -  Ferro Roma FR1221BR
4824251;Base completa 220V -  Ferro Roma FR1222BR
1424002;Copolimero Random - RP 340N
4824252;Base completa 127V -  Ferro Paris FR521BR
4824253;Base completa 220V -  Ferro Paris FR522BR
4824254;Base completa 127V -  Ferro Milao 127V - FR0121BR
