Codigo;descricao
MG1022PR;Maquina de Gelo Suggar Prata 220V
AF81BR;Dep. Classic Power Fischer    80CM 3 Vel. 127V C/L
BI61BM;Dep. Suggar Bi Turbo 60CM 127V C/Lum.
FR0522BR;Ferro Eletrico Suggar Paris Vapor 220V
FR3522MT;Ferro Metalico Viena Suggar   220V
LB82BR;Dep. Suggar Legitimo Biturbo 80CM 220V    C/Lum
TP0292IX;Coifa Suggar Piramidal Cristal 90CM 220V Vidro
TP6660IX;Coifa Suggar Piramidal Safira 60CM 127V
4300MKBR;Lavad MK Tech 4.3 kg 127V
AF62BR;Dep. Classic Power Fischer    60CM 3 Vel. 220V C/L
BI82BM;Dep. Suggar Bi Turbo 80CM 220V C/Lum.
FR0121BR;Ferro Elet Suggar Milao Vapor 127V
FR0122BR;Ferro Elet Suggar Milao Vapor 220V
PP62BM;Dep. Suggar Polaris 60CM 220V C/Lum.
BT9021CXIX;Batedeira Batplus 127V Inox Suggar CX C/ 6
FE2321IX;Forno Eletrico Suggar Inox 23 Litros 127V
FG3202VP;Cooktop a gás 2B Vd  Preto
FR4021BR;Ferro Elet Madri Suggar S/Fio 127V
1103208;Emb. e impressos lav. Lavamatic Super 220V
1103223;Emb. e impressos Lavad MK Tech Super 220V
1103238;Embalagens e impressos Lav. Favorita
1103262;Knob Ø 60mm
1103283;Dispenser BR. Favorita
1103289;Embalagens e impressos Lav Lavamax
1103291;Mistura BR-MASTER PS
1524011;Fita de fibra p/ fechar caixa master dos ferros
1103084;Lav Predileta CZ. Plus C/Esfregador 127V montada
1103123;Tampa movel Lavamatic CZ
1103184;Tampao de vedacaoTQ II
1103216;Lavadora Lavamatic Super TP-VD 127V montada
1103229;Emb. e impressos Lav. Lavamatic Plus 127V c/esfreg
1103246;Painel de controle Lavamax
1103254;Filtro  Azul Favorita / Lavamax
1103265;Suporte Dir.do Motor Favorita / Lavamax
1604004;Conj. Tubo Alimentador Queimador F. gas
1609003;Grade maior da Adega 39G
1103251;Sifão em  L Ø 10mm BR
1103261;Visor azul Lavamax
1103288;Cuba Azul favorita injetada
1155057;Tubo de  encaixe da base usinado
1155085;Embalagem e acessórios expositor coifa
1903007;Manual Instr.termo gar.Lav.Lavamatic/Predileta /Su
1903014;Manual Instr. termo garantia Lav. Lavamax 
1903021;Manual Instrucao  Lav. VIVA MAX 6.0 
1103085;Lav Predileta CZ. Plus C/Esfregador 220V montada
1103175;Nova Lav Suggar Tourb Branca Sup Lx  220V
1103215;Tampa movel VD Lav. Lavamatic
1103217;Lavadora Lavamatic Super TP-VD 220V montada
1103244;Esfregador Favorita
1103248;Pe nivelador Favorita / Lavamax
1155078;Expositor de Metalon montado p/ Depurador
1155089;Bandeja  fogao 2Q importado do expositor p/ Coifa
1904001;Manual Instr. termo garantia F.Eletrico, Cook, Saa
1924001;Manual p/ Ferro metalico Viena FR3521-22MT
1801005;Vidro defletor 4x82x565mm - 60cm
1804005;Vidro da porta do forno
1103162;Knob BR em S
1103166;Turbilhao II BR montado 220V
1103200;Suporte batedor Lav. Lavamatic Super
1103205;Tampa movel  BR Lav. Lavamatic
1103263;Ralo Azul Lavamax
1103264;Suporte Esq.do Motor Favorita / Lavamax
1103270;Lavadora Favorita  Simp. 220V
1103272;Lavadora Lavamax  c/dispenser p/sabao L02-04 127V
1103282;Ralo BR. Favorita
1805006;Mesa de Vidro BR p/ Cook Top 5 Q. Trip. Ch.Central
1901019;Manual Instr. termo garantia Coifas CATA 
1901030;Manual Instrucao Dep. Sirius/Titan
1103226;Lav Suggar Lavamatic Plus C/Esfregador 127V montad
1103227;Lav Suggar Lavamatic Plus C/Esfregador 220V montad
1103231;Lav Suggar Lavamatic Plus C/Esfr TP VD 127V montad
1103250;Polia Motor Ø 50mm
FR4021CXBR;Ferro Elet Madri Suggar S/Fio 127V CX C/ 10
MC4621PR;Maq de Cortar Cabelos Suggar 127V
FGE4BVP;Fogao de Embutir a Gas 4B Vd  Preto
FGE5BVP;Fogao de Embutir a Gas 5B Vd  Preto
FTC5BVP;Fogao de Mesa a Gas Tripla Chama 5B Vd  Preto
AF82BR;Dep. Classic Power Fischer    80CM 3 Vel. 220V C/L
BI82BR;Dep. Suggar Bi Turbo 80CM 220V C/Lum.
LX6011BR;LAVAMAX SUGGAR 127V
2209017;Porta com Vidro Duplo completa Adega 39G
1103146;Tampa Fixa c/ esfregador MB 
1103147;Sub. Conj. da cuba MB 
1103164;Turbilhao Tanquinho II BR montada 220V
1103209;Embalagens e impressos Sluxo 220V
1103242;Cuba BR.duas entradas d`agua e conexao de nivel
1103255;Tampa Movel Lavamax
1103260;Tampao BR. dos parafusos Lavamax
1103279;Batedor em helice BR
4801001;Tela de aluminio expandido 60cm Dep. Orion
4801017;Boquilha - Lamp holder
4801031;Cobertura da lampada piloto - Light cover
4804004;Indicador laranja ZX
1103114;Lav Predileta CZ.Plus C/Esfregador e Tampa Fume 22
1103117;Suporte do motor Tourbilhao
1103144;Tampa Fixa c/ esfregador BR Lavamatic
1103198;Batedor Lav. Lavamatic Super
1103201;Disco de vedacao Lav. Lavamatic Super
1103235;Emb. e impressos Lav. Salfer Super 127V
PL81BM;Dep. Suggar Antares 80CM 3 Vel. 127V C/Lum.
PP61BR;Dep. Suggar Polaris 60CM 127V C/Lum.
PP62BR;Dep. Suggar Polaris 60CM 220V C/Lum.
PP82BM;Dep. Suggar Polaris 80CM 220V C/Lum.
PV6281PR;Passadeira Prof a Vapor 127V Suggar
1103199;Suporte batedor completo Lav. Lavamatic Super
1103204;Tampa fixa Lav. Lavamatic Super
1103225;Lavad MK Tech Super 220V montada
1103253;Torre Cata Fiapo  Lavamax
1103268;Lavadora Lavamax Super c/dispenser p/sabao e amaci
1103287;Cuba BR.Lavamax injetada
1155061;Quadro da base fixa soldado do expositor p/ fogao
1003047;Etiqueta Procel Lav.TOP 4.3
1501023;Saco plastico PEAD 1100 x 1100 x 0,03mm
1501038;Saco plastico PEBD liso 850 x 830 x 0,19mm
1501059;Caixa Dep. SENSE 60cm
1503019;5550074
1101530;Suporte conj. mancal/motor da coifa 
1101537;Conj. suporte da trava tampa dir. BR
1103240;Batedor em helice Azul
1103247;Painel de controle Favorita
1103257;Tampa do dispenser Favorita/Lavamax
1103259;Dispenser Azul p/ sabao e amaciante
1103089;Polia batedor A-34
1103093;Lav. Predileta Super CZ Tampa Fume 220V montada
1103137;Tourbillion TQ 220V/50HZ BR montado
1103163;Tampa movel TQ Turbilhao II
1101522;Painel frontal VEGA 60cm BG tampografado 
1101566;Depurador Suggar Polaris 80cm BM 127V
1101571;Depurador Suggar Polaris 60cm BR 220V
1101641;Embalagens e acessórios Dep. SUGGAR POLARIS 60cm
1101666;Kit instalação Depurador CLASSIC POWER FISCHER
1103096;"""Sifao 1/2 em """"L"""" branco NV """""""
1103124;Tampa movel Sluxo
1103131;Tourbillion CB 220V BR montado
1103202;Gabinete BR Lav. Lavamatic Super dobrado
1103206;Filtro cata fiapo BR Lav. Lavamatic
4805131;Mesa de trabalho 
1101513;Kit instalação Depurador VEGA
1101516;Etiqueta diagrama eletrico Coifa
1101525;Painel frontal VEGA 60cm BR tampografado 
1101561;Monobloco POLARIS 80cm dobrado 
1103243;Cuba Azul Favorita
1103275;Embalagens e impressos Lav Lavamax  Exportacao
1101636;Kit instalação Depurador SUGGAR POLARIS
1101658;Embalagem e acessórios Dep. Classic Power Fischer
1101678;Depurador Suggar Cook Bi Turbo 60cm BR 127V
1101686;Sub-conj. motor 220V 50HZ - 2 polos- 1 velocidade 
1101518;Painel frontal VEGA 80cm BR tampografado 
1101550;Monobloco POLARIS 60cm estampado 
1101578;Embalagens e acessórios Dep. Tokyo  Domino 80cm
1101600;Monobloco Bi Turbo 60cm BR pintado 
1101635;Kit instalação Depurador Tokyo Domino 60/80cm
1101685;Kit instalação Depurador COOK BI TURBO
4804066;Lateral esquerda interna FE23L - Laft side plate H
4804087;Painel frontal BR FE8L - Front panel white HK-602 
4804091;Knob BR do timer FE8L - Timer konb white
4804094;Cordão de força FE8L - Power cord HK-602
1101529;Adesivo refletor 50 x 120mm
1101656;Painel frontal CLASSIC POWER FISCHER 60 BR tampogr
1101677;Monobloco Suggar Cook Bi Turbo 80cm BR silkado 
1103281;Batedor em helice Completo BR.
4804018;Resistência Inferior/Superior 400 W127V
4804026;Vidro da porta FE42L - Glass door HK-42 
4804033;Puxador FE42L- Door handle  HK-42 
4804043;Timer do Forno 60' 250V 16A
1101520;Painel frontal ANTARES 60 BR tampografado 
1101528;Etiqueta alerta lampada
1101531;Sub-conj. motor 220V 50HZ - 2 polos- 3 velocidade 
1101533;Depurador Suggar Antares 60cm BM 220V 50HZ C/Lum.
1101549;Monobloco POLARIS 60cm dobrado 
1101567;Depurador Suggar Polaris 60cm BR 127V
1101596;Depurador Suggar Bi Turbo 80cm BM 220V
1101674;Depurador Suggar Cook Bi Turbo 60cm BM 220V
1101675;Depurador Suggar Cook Bi Turbo 80cm BM 127V
4804049;Distanciador BR - Distancem rod white
4804056;Cordão de força FE23L - Power cord HK-23
4804060;Suporte superior FE23L - Supporting plate for up H
1101552;Painel frontal POLARIS 60 BG tampografado 
4870001;Placa para a logo
1101629;Depurador Suggar Bi Turbo 80cm BM 127V
1101573;Monobloco POLARIS 80cm BR pintado
